"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"05/20/2023","55","PM2.5","DAYTON - W MAIN","53-013-0002","AQS","51","55","55"
"05/21/2023","51","PM10","BURBANK - MAPLE ST","53-071-0006","AQS","38","51","21"
"05/22/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","25","13"
"05/23/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","38","17","15"
"05/24/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","21","17"
"05/25/2023","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","48","27","19"
"05/26/2023","24","PM2.5","DAYTON - W MAIN","53-013-0002","AQS",".","20","24"
"05/27/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","21","21"
"05/28/2023","40","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","40","18","23"
"05/29/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","16","18"
"05/30/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AQS","44","21","17"
"05/31/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","42","29","18"
"06/01/2023","37","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","37","19","22"
"06/02/2023","46","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","46","25","23"
"06/03/2023","50","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","50","22","21"
"06/04/2023","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","48","18","23"
"06/05/2023","48","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","48","30","22"
"06/06/2023","51","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","51","43","23"
"06/07/2023","58","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","58","37","22"
"06/08/2023","44","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","44","42","26"
"06/09/2023","30","PM2.5","DAYTON - W MAIN","53-013-0002","AirNow","29","16","30"
"06/10/2023","42","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","42","8","23"
"06/11/2023","38","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","38","10","18"
"06/12/2023","46","Ozone","Confederated Tribes of the Umatilla Indian Reservation","53-013-9991","AirNow","46","26","24"
"06/13/2023","60","PM10","BURBANK - MAPLE ST","53-071-0006","AirNow","40","60","37"
